,measurement,folder name,freq motor
0,full,vid_2025-02-24_19-34-14,20.0
1,full,vid_2025-02-24_19-36-28,19.0
2,full,vid_2025-02-24_19-40-24,18.0
3,full,vid_2025-02-24_19-42-47,17.0
4,full,vid_2025-02-24_19-45-21,16.0
5,full,vid_2025-02-24_19-48-30,15.0
6,full,vid_2025-02-24_19-52-25,14.0
7,full,vid_2025-02-24_19-55-09,13.0
8,full,vid_2025-02-24_19-58-59,12.8
9,full,vid_2025-02-24_20-02-35,12.2
10,rect,vid_2025-02-24_20-06-35,20.0
11,rect,vid_2025-02-24_20-12-38,19.0
12,rect,vid_2025-02-24_20-16-35,18.0
13,rect,vid_2025-02-24_20-20-52,17.0
14,rect,vid_2025-02-24_20-37-03,16.0
15,full,vid_2025-02-25_16-17-27,17.2
16,full,vid_2025-02-25_16-28-53,13.4
17,triang,vid_2025-02-25_17-17-38,20.0
18,triang,vid_2025-02-25_17-49-41,19.0
19,triang,vid_2025-02-25_17-53-08,18.0
20,triang,vid_2025-02-25_17-56-42,17.0
21,triang,vid_2025-02-25_17-59-35,16.0
22,triang,vid_2025-02-25_18-02-42,15.0
23,triang,vid_2025-02-25_18-06-48,14.0
24,triang,vid_2025-02-25_18-11-50,13.0
25,triang,vid_2025-02-25_18-14-54,12.0
26,triang,vid_2025-02-25_18-24-10,11.5
