,medida,nombre carpeta
0,Segmented rect - 0 - Reference 1,vid_2025-02-24_15-19-57
1,Segmented rect - 17.2 - Mode 0,vid_2025-02-24_15-24-10
2,Segmented rect - 17.2 - Mode 0 - b,vid_2025-02-24_15-30-07
3,Segmented rect - 17.2 - Mode 1,vid_2025-02-24_15-34-16
4,Segmented rect - 16.9 - Mode 1,vid_2025-02-24_15-43-25
5,Full  - 13.4 - Mode 1,vid_2025-02-24_15-48-03
6,Full  - 13.4 - Mode 0,vid_2025-02-24_15-56-03
7,Full  - 0 - Reference 1,vid_2025-02-24_16-00-23
8,Full  - 17.2 - Mode 1,vid_2025-02-24_16-04-16
9,Full  - 0 - Reference 2,vid_2025-02-24_16-11-02
10,Segmented triang - 13.4 - Mode 0,vid_2025-02-24_16-20-30
11,Segmented triang - 13.4 - Mode 1,vid_2025-02-24_16-24-45
12,Segmented triang - 17.2 - Mode 1,vid_2025-02-24_16-34-08
13,Segmented triang - 0 - Reference 1,vid_2025-02-24_17-30-58
