L,Uonset
100,"15,42091"
110,"19,30422"
120,"15,2011"
130,"13,07627"
140,"12,78319"
150,"9,77912"
160,"10,87817"
60,"34,984"
65,"26,26487"
70,"23,77369"
75,"21,0627"
80,"17,83882"
85,"14,61494"
90,"12,56338"
95,"11,97722"
100,"11,90395"
160,"13,95551"
60,"21,42905"
65,"26,33814"
75,"18,8646"
95,"20,69635"
100,"14,17532"
160,"12,78319"
60,"18,1423"
65,"22,09996"
70,"14,84425"
75,"23,71234"
80,"13,96477"
85,"18,72862"
90,"16,74979"
95,"15,72373"
100,"16,60321"
110,"15,06412"
120,"12,64555"
130,"14,03806"
140,"12,13252"
150,"9,27421"
160,"8,90776"
60,"26,05762"
65,"20,78074"
70,"14,77096"
75,"24,22537"
80,"14,62438"
85,"19,97455"
90,"16,6765"
95,"14,33122"
100,"16,16347"
110,"14,99083"
120,"16,82308"
130,"13,96477"
140,"11,61949"
150,"11,39962"
160,"8,76118"
100,"15,35728"
150,"10,59343"
