L,Ustop
60,"15,71399"
65,"13,95551"
70,"12,56338"
75,"12,56338"
80,"11,90395"
85,"11,31779"
90,"10,95144"
95,"10,0722"
100,"9,92566"
110,"9,48604"
120,"8,16718"
130,"7,21467"
140,"6,77505"
150,"6,77505"
160,"6,4087"
60,"14,32186"
65,"11,918604"
70,"10,73163"
75,"9,92566"
80,"9,26623"
85,"8,82661"
90,"8,75334"
95,"8,46026"
100,"8,16718"
110,"7,43448"
120,"7,36121"
130,"7,21467"
140,"6,99486"
150,"6,4087"
160,"6,11562"
60,"13,80897"
65,"12,34357"
70,"11,17125"
75,"9,92566"
80,"9,26623"
85,"8,31372"
90,"7,8741"
95,"7,80083"
100,"7,36121"
