rho,u0_crit,omega_crit
1.18,47.55102040816327,(8.76923076923077+0.05263157894736836j)
1.60444444,39.38775510204081,(9.047008547008549-0.014035087719298317j)
2.02888889,34.48979591836735,(8.547008547008549+0.1859649122807017j)
2.45333333,30.408163265306122,(8.824786324786327+0.11929824561403501j)
2.87777778,27.142857142857142,(9.102564102564106+0.14152046783625724j)
3.30222222,23.877551020408163,(9.76923076923077+0.1578947368421053j)
3.72666666,23.736842105263158,(8.183673469387756+0.36842105263157876j)
4.151111106666667,22.473684210526315,(7.755102040816327+0.3480128893662726j)
4.575555553333333,21.210526315789473,(7.571428571428572+0.36842105263157876j)
5.0,19.94736842105263,(7.551020408163266+0.3888292158968849j)
